Image,Parent,Numeral,Name,radius,semi_major_axis,orbital_period,Discovery_year,Discovered_by,Notes,Ref(s)
"","Jupiter","XLVI (46)","Carpo","1.5","17,058,000","456.30","2003","Sheppard, Gladman, Kavelaars, Petit, Allen, Jewitt, Kleyna","Prograde irregular (Carpo)","[15]"
"","Jupiter","XLVII (47)","Eukelade","2","23,328,000","730.47 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández, Hsieh","Retrograde irregular (Carme)","[15]"
"","Jupiter","XLVIII (48)","Cyllene","1","23,809,000","752 (r)","2003","Sheppard, Jewitt, Kleyna","Retrograde irregular (Pasiphae)","[15]"
"","Jupiter","XLIX (49)","Kore","1","24,543,000","779.17 (r)","2003","Sheppard, Jewitt, Kleyna","Retrograde irregular (Pasiphae)","[15]"
"","Jupiter","L (50)","Herse","1","22,983,000","714.51 (r)","2003","Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen","Retrograde irregular (Carme)","[15]"
"","Jupiter","LI (51)","S/2010 J 1","1","23,314,300","723.2 (r)","2010","Jacobson, Brozović, Gladman, Alexandersen","Retrograde irregular (Carme)",""
"","Jupiter","LII (52)","S/2010 J 2","0.5","20,307,200","588.1 (r)","2010","Veillet","Retrograde irregular (Ananke)",""
"","Jupiter","LIII (53)","Dia","2","12,118,000","287.0","2000","Sheppard, Jewitt, Kleyna, Fernández, Hsieh","Prograde irregular (Himalia)",""
"","Jupiter","LIV (54)","S/2016 J 1","3","20,595,500","602.7 (r)","2016","Sheppard","Retrograde irregular (Ananke)",""
"","Jupiter","LV (55)","S/2003 J 18","1","20,274,000","588.0 (r)","2003","Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen","Retrograde irregular (Ananke)",""
"","Jupiter","LVI (56)","S/2011 J 2","0.5","23,329,700","726.8 (r)","2011","Sheppard","Retrograde irregular (Pasiphae)",""
"","Jupiter","LVII (57)","Eirene","2","23,731,800","759.7 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández, Hsieh","Retrograde irregular (Carme)",""
"","Jupiter","LVIII (58)","Philophrosyne","1","22,820,000","701.3 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández","Retrograde irregular (Pasiphae)",""
"","Jupiter","LIX (59)","S/2017 J 1","2","23,484,000","734.2 (r)","2017","Sheppard","Retrograde irregular (Pasiphae)",""
"","Jupiter","LX (60)","Eupheme","1","21,199,710","627.8 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández, Hsieh","Retrograde irregular (Ananke)",""
"","Jupiter","LXI (61)","S/2003 J 19","1","22,757,000","697.6 (r)","2003","Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen","Retrograde irregular (Carme)",""
"","Jupiter","LXII (62)","Valetudo","0.5","18,928,100","532.0","2016","Sheppard","Prograde irregular (Valetudo)",""
"","Jupiter","LXIII (63)","S/2017 J 2","1","23,241,000","723.8 (r)","2017","Sheppard","Retrograde irregular (Carme)",""
"","Jupiter","LXIV (64)","S/2017 J 3","1","20,639,300","605.8 (r)","2017","Sheppard","Retrograde irregular (Ananke)",""
"","Jupiter","LXV (65)","Pandia","1.5","11,494,800","251.8 (r)","2017","Sheppard","Prograde irregular (Himalia)",""
"","Jupiter","LXVI (66)","S/2017 J 5","1","23,169,400","720.5 (r)","2017","Sheppard","Retrograde irregular (Carme)",""
"","Jupiter","LXVII (67)","S/2017 J 6","1","22,394,700","684.7 (r)","2017","Sheppard","Retrograde irregular (Pasiphae)",""
"","Jupiter","LXVIII (68)","S/2017 J 7","1","20,571,500","602.8 (r)","2017","Sheppard","Retrograde irregular (Ananke)",""
"","Jupiter","LXIX (69)","S/2017 J 8","0.5","23,174,400","720.7 (r)","2017","Sheppard","Retrograde irregular (Carme)",""
"","Jupiter","LXX (70)","S/2017 J 9","1","21,430,000","640.9 (r)","2017","Sheppard","Retrograde irregular (Ananke)",""
"","Jupiter","LXXI (71)","Ersa","1.5","11,453,000","250.4 (r)","2018","Sheppard","Retrograde irregular (Himalia)",""
"","Jupiter","LXXII (72)","S/2011 J 1","0.5","20,155,300","580.7 (r)","2011","Sheppard","Retrograde irregular (Carme)",""
"","Jupiter","—","S/2003 J 16","1","20,512,500","600.18 (r)","2003","Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen","Retrograde irregular (Ananke)","[35]"
"","Jupiter","—","S/2003 J 9","0.5","24,168,700","767.6 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández","Retrograde irregular (Carme)","[36]"
"","Jupiter","—","S/2003 J 2","1","20,554,400","602.02 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández, Hsieh","Retrograde irregular (Ananke)","[15]"
"","Jupiter","—","S/2003 J 4","1","22,048,600","668.85 (r)","2003","Sheppard, Jewitt, Kleyna, Fernández, Hsieh","Retrograde irregular (Pasiphae)","[15]"
